ACC_NAME_TH,ACC_NAME_EN,ACCOM_TYPE_NAME,ACC_ROOM,ACC_HILIGHT,ACC_HIGH_RATE,ACC_LOW_RATE,ACC_ROAD,REGION_NAME_TH,SUBDISTRICT_NAME_TH,DISTRICT_NAME_TH,PROVINCE_NAME_TH,ACC_LOCATION,Latitude,Longitude,ACC_STANDARD,ACC_LOCATION_1
เดอะ คาแนล 304,The Canal 304,โรงแรม,115,,2800,1600,,ภาคตะวันออก,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,"13.9004129, 101.5809746",13.9004129,101.5809746,,"13.9004129, 101.5809746"
อีลิแกนซี่ แสนสบาย,Elegancy Sansabai Hotel,โรงแรม,76,,5000,1400,ราษฎร์อุทิศ 200 ปี,ภาคใต้,ป่าตอง,กะทู้,ภูเก็ต,"7.8928368, 98.29870009999999",7.8928368, 98.29870009999999,,"7.8928368, 98.29870009999999"
หลับสบาย เกสเฮ้าส์,Lub Sbuy House Phuket,เกสท์เฮ้าส์,19,,1200,600,,ภาคใต้,ตลาดใหญ่,เมืองภูเก็ต,ภูเก็ต,"7.883715899999999, 98.3943194",7.883715899999999,98.3943194,6,"7.883715899999999, 98.3943194"
สิเหร่ กรีน รีสอร์ท,(Siray Green Resort),รีสอร์ท,8,,2800,2000,,ภาคใต้,รัษฎา,เมืองภูเก็ต,ภูเก็ต,"7.877199000000001, 98.42841800000001",7.877199000000001, 98.42841800000001,6,"7.877199000000001, 98.42841800000001"
บ้านรับรองเขื่อนเจ้าพระยา,Chao Phraya Dam Guesthouse,บ้านพักอุทยาน/ทีพักของหน่วยราชการ,29,,550,400,,ภาคกลาง,ตลุก,สรรพยา,ชัยนาท,"15.1604349, 100.1782943",15.1604349,100.1782943,6,"15.1604349, 100.1782943"
เรือนไม้หอม ริเวอร์ไซด์,Ruen Maihom Riverside,รีสอร์ท,21,,3200,2000,ท่าน้ำตื้น   เขาปูน,ภาคกลาง,แก่งเสี้ยน,เมืองกาญจนบุรี,กาญจนบุรี,"14.05202416309432, 99.47658374905586",14.05202416309432, 99.47658374905586,6,"14.05202416309432, 99.47658374905586"
เหย้าอินจัน รีสอร์ท,Yao In Chan Resort,โฮมสเตย์/เรือนพักแรม,11,,3000,2100,,ภาคกลาง,บ้านปรก,เมืองสมุทรสงคราม,สมุทรสงคราม,"13.411477, 99.9827843",13.411477,99.9827843,6,"13.411477, 99.9827843"
สถานีวิจัยเพื่อการพัฒนาชายฝั่งอันดามัน มหาวิทยาลัยเกษตรศาสตร์,Andaman Coastal Research Station for Developmen,บ้านพักอุทยาน/ทีพักของหน่วยราชการ,10,,500,500,,ภาคใต้,นาคา,สุขสำราญ,ระนอง,"9.3769607, 98.3977547",9.3769607,98.3977547,6,"9.3769607, 98.3977547"
ลมเล รีสอร์ท,Lomlay Resort,รีสอร์ท,20,,750,500,ยนตรการกำธร,ภาคใต้,คลองขุด,เมืองสตูล,สตูล,"6.6348863, 100.0693165",6.6348863,100.0693165,,"6.6348863, 100.0693165"
เรือนดาหลา,,รีสอร์ท,17,,600,300,,ภาคใต้,เวียง,ไชยา,สุราษฎร์ธานี,"9.388112702898836, 99.17169034481049",9.388112702898836, 99.17169034481049,,"9.388112702898836, 99.17169034481049"
